Source,Target,Number of Papers
Time-Series,Line Charts,11
Spatiotemporal,Maps,10
Spatiotemporal,Line Charts,7
Tabular,Line Charts,7
Tabular,Maps,7
Time-Series,Maps,6
Spatiotemporal,Bar Charts,5
Tabular,Bar Charts,5
Network,Maps,5
Time-Series,Bar Charts,5
Geospatial,Maps,5
Tabular,Dashboards,3
Time-Series,Dashboards,3
Textual,Maps,2
Network,Line Charts,2
Geospatial,Bar Charts,2
Geospatial,Heatmaps,2
Spatiotemporal,Heatmaps,2
Network,Network Diagrams,2
Event,Line Charts,2
Event,Maps,2
Textual,Bar Charts,1
Imagery,Maps,1
Geospatial,Dashboards,1
Geospatial,Line Charts,1
Line Charts,Analytical,13
Maps,Analytical,10
Maps,Model-developmental,8
Bar Charts,Analytical,7
Maps,Observational,5
Maps,Disseminative,5
Line Charts,Model-developmental,3
Line Charts,Disseminative,3
Bar Charts,Observational,3
Line Charts,Observational,3
Bar Charts,Model-developmental,2
Dashboards,Analytical,2
Heatmaps,Analytical,2
Bar Charts,Disseminative,2
Network Diagrams,Model-developmental,1
Dashboards,Observational,1
Network Diagrams,Analytical,1
