Year,Number of Papers,Keyword
2013,4,visualization
2013,0,pandemic
2013,2,healthcare
2013,0,pandemic_data
2013,2,epidemiological_modeling
2013,1,emergency_response
2013,0,domain_specific
2014,5,visualization
2014,1,pandemic
2014,1,healthcare
2014,1,pandemic_data
2014,1,epidemiological_modeling
2014,2,emergency_response
2014,0,domain_specific
2015,2,visualization
2015,0,pandemic
2015,0,healthcare
2015,1,pandemic_data
2015,1,epidemiological_modeling
2015,0,emergency_response
2015,0,domain_specific
2016,6,visualization
2016,1,pandemic
2016,3,healthcare
2016,0,pandemic_data
2016,1,epidemiological_modeling
2016,1,emergency_response
2016,0,domain_specific
2017,8,visualization
2017,0,pandemic
2017,4,healthcare
2017,2,pandemic_data
2017,3,epidemiological_modeling
2017,2,emergency_response
2017,0,domain_specific
2018,3,visualization
2018,0,pandemic
2018,3,healthcare
2018,0,pandemic_data
2018,0,epidemiological_modeling
2018,1,emergency_response
2018,0,domain_specific
2019,3,visualization
2019,0,pandemic
2019,1,healthcare
2019,0,pandemic_data
2019,1,epidemiological_modeling
2019,1,emergency_response
2019,0,domain_specific
2020,62,visualization
2020,71,pandemic
2020,25,healthcare
2020,19,pandemic_data
2020,14,epidemiological_modeling
2020,10,emergency_response
2020,3,domain_specific
2021,64,visualization
2021,73,pandemic
2021,20,healthcare
2021,17,pandemic_data
2021,9,epidemiological_modeling
2021,11,emergency_response
2021,0,domain_specific
2022,66,visualization
2022,63,pandemic
2022,10,healthcare
2022,14,pandemic_data
2022,10,epidemiological_modeling
2022,5,emergency_response
2022,5,domain_specific
2023,36,visualization
2023,28,pandemic
2023,15,healthcare
2023,6,pandemic_data
2023,2,epidemiological_modeling
2023,5,emergency_response
2023,9,domain_specific
2024,13,visualization
2024,8,pandemic
2024,4,healthcare
2024,2,pandemic_data
2024,2,epidemiological_modeling
2024,1,emergency_response
2024,1,domain_specific
