Year,Number of Papers,Keyword
2013,0,pandemic
2013,2,healthcare
2013,2,epidemiological modeling
2013,1,emergency response
2014,1,pandemic
2014,1,healthcare
2014,1,epidemiological modeling
2014,2,emergency response
2015,0,pandemic
2015,0,healthcare
2015,1,epidemiological modeling
2015,0,emergency response
2016,1,pandemic
2016,3,healthcare
2016,1,epidemiological modeling
2016,1,emergency response
2017,0,pandemic
2017,4,healthcare
2017,3,epidemiological modeling
2017,2,emergency response
2018,0,pandemic
2018,3,healthcare
2018,0,epidemiological modeling
2018,1,emergency response
2019,0,pandemic
2019,1,healthcare
2019,1,epidemiological modeling
2019,1,emergency response
2020,71,pandemic
2020,25,healthcare
2020,14,epidemiological modeling
2020,10,emergency response
2021,73,pandemic
2021,20,healthcare
2021,9,epidemiological modeling
2021,11,emergency response
2022,63,pandemic
2022,10,healthcare
2022,10,epidemiological modeling
2022,5,emergency response
2023,28,pandemic
2023,15,healthcare
2023,2,epidemiological modeling
2023,5,emergency response
2024,8,pandemic
2024,4,healthcare
2024,2,epidemiological modeling
2024,1,emergency response
