Source,Target,Value,,,,,,,,,,,,,,,,,,,
Line Charts,Line Charts,34,,,,,,,,,,,,,,,,,,,
Line Charts,Bar Charts,12,,,,,,,,,,,,,,,,,,,
Line Charts,Pie Charts,3,,,,,,,,,,,,,,,,,,,
Line Charts,Scatter Plots,6,,,,,,,,,,,,,,,,,,,
Line Charts,Histograms,2,,,,,,,,,,,,,,,,,,,
Line Charts,Box Plots,6,,,,,,,,,,,,,,,,,,,
Line Charts,Bubble Plots,1,,,,,,,,,,,,,,,,,,,
Line Charts,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Line Charts,Heatmaps,1,,,,,,,,,,,,,,,,,,,
Line Charts,Choropleth Maps,15,,,,,,,,,,,,,,,,,,,
Line Charts,Density Maps,5,,,,,,,,,,,,,,,,,,,
Line Charts,Land Cover Maps,2,,,,,,,,,,,,,,,,,,,
Line Charts,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Line Charts,Network Diagrams,3,,,,,,,,,,,,,,,,,,,
Line Charts,Sociograms,0,,,,,,,,,,,,,,,,,,,
Line Charts,Integrated Platforms,9,,,,,,,,,,,,,,,,,,,
Line Charts,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Line Charts,Treemaps,1,,,,,,,,,,,,,,,,,,,
Line Charts,Tables,18,,,,,,,,,,,,,,,,,,,
Line Charts,Figures (explanatory diagrams),4,,,,,,,,,,,,,,,,,,,
Line Charts,Flowcharts,7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Bar Charts,Line Charts,12,,,,,,,,,,,,,,,,,,,
Bar Charts,Bar Charts,36,,,,,,,,,,,,,,,,,,,
Bar Charts,Pie Charts,6,,,,,,,,,,,,,,,,,,,
Bar Charts,Scatter Plots,8,,,,,,,,,,,,,,,,,,,
Bar Charts,Histograms,1,,,,,,,,,,,,,,,,,,,
Bar Charts,Box Plots,2,,,,,,,,,,,,,,,,,,,
Bar Charts,Bubble Plots,1,,,,,,,,,,,,,,,,,,,
Bar Charts,Stacked Bar Charts,1,,,,,,,,,,,,,,,,,,,
